"Model","Metric","Mean","SD"
"LightGBM","mae",0.260835763350067,0.0104789405661331
"LightGBM","mse",0.105316318150875,0.00923207142670645
"LightGBM","r2",0.748455148434273,0.0320084526079413
"LightGBM","rmse",0.324250903230145,0.014050302697838
"PRForest","mae",0.25355464538212,0.0144130185161527
"PRForest","mse",0.100933727619433,0.0111144742468606
"PRForest","r2",0.759562706727166,0.0296327392976813
"PRForest","rmse",0.317267254652864,0.0174870347040995
"RaFFLE","mae",0.252752651265512,0.0136212256175439
"RaFFLE","mse",0.100284418590568,0.0106057474100775
"RaFFLE","r2",0.760866778773396,0.0307038964088248
"RaFFLE","rmse",0.31627748917419,0.0167653224192293
"RandomForest","mae",0.283635441442043,0.0154619023213061
"RandomForest","mse",0.124939637984586,0.0148826344610724
"RandomForest","r2",0.70144741906416,0.044772088312448
"RandomForest","rmse",0.35292520642614,0.0206407540143505
"XGBoost","mae",0.277423033116587,0.0205066565062076
"XGBoost","mse",0.119425953088415,0.0184775870945682
"XGBoost","r2",0.715036852093158,0.0472443994121794
"XGBoost","rmse",0.344724593422831,0.0256235086910982
